alternative design flag set to: false
ws1 done making product #1 in 11.010682536s
ws1 done making product #2 in 9.785965034s
ws1 done making product #3 in 12.700446545s
ws1 done making product #4 in 14.473753956s
ws1 done making product #5 in 3.786250933s
ws1 done making product #6 in 13.401192412s
ws1 done making product #7 in 6.914026906s
ws1 done making product #8 in 9.451093206s
ws1 done making product #9 in 13.177197275s
ws1 done making product #10 in 10.243193259s
ws1 done making product #11 in 17.774152979s
ws1 done making product #12 in 7.002230331s
ws1 C1 [0 0 0]
ws2 C1 [0 0 0]
ws2 C2 [0 0 0]
ws3 C1 [0 0 0]
ws3 C3 [0 0 0]
ws1 done making product #13 in 4.108019641s
ws1 done making product #14 in 8.703254646s
ws1 done making product #15 in 13.385326021s
ws1 done making product #16 in 9.141403865s
ws1 done making product #17 in 9.488165035s
ws1 done making product #18 in 14.406273239s
ws1 done making product #19 in 5.531334109s
ws1 done making product #20 in 12.822384677s
ws1 done making product #21 in 14.861365434s
ws1 done making product #22 in 1.976242783s
ws1 done making product #23 in 15.918181582s
ws1 done making product #24 in 4.17704146s
ws1 done making product #25 in 13.283264248s
ws1 done making product #26 in 7.993877982s
ws1 done making product #27 in 16.142080032s
ws1 done making product #28 in 9.65921108s
ws1 done making product #29 in 21.284265371s
ws1 done making product #30 in 479.137713ms
ws1 done making product #31 in 10.320840533s
ws1 done making product #32 in 3.127112533s
ws1 done making product #33 in 9.887272597s
ws1 done making product #34 in 13.838190392s
ws1 done making product #35 in 7.880166586s
ws1 done making product #36 in 19.878098745s
ws1 done making product #37 in 3.237131586s
ws1 done making product #38 in 14.697239897s
ws1 done making product #39 in 582.53836ms
ws1 done making product #40 in 12.927047197s
ws1 done making product #41 in 8.188776189s
ws1 done making product #42 in 10.120044341s
ws1 done making product #43 in 19.049038144s
ws1 done making product #44 in 9.061033191s
ws1 done making product #45 in 17.642970621s
ws1 done making product #46 in 2.621072369s
ws1 done making product #47 in 2.46310375s
ws1 done making product #48 in 17.609095766s
ws1 done making product #49 in 7.301138467s
ws1 done making product #50 in 19.074066735s
ws1 done making product #51 in 3.924065675s
ws1 done making product #52 in 2.270101796s
ws1 done making product #53 in 13.766007222s
ws1 done making product #54 in 9.048143562s
ws1 done making product #55 in 10.638051472s
ws1 done making product #56 in 12.626073749s
ws1 done making product #57 in 6.007095988s
ws1 done making product #58 in 11.494151193s
ws1 done making product #59 in 7.877024306s
ws1 done making product #60 in 11.538118565s
ws1 done making product #61 in 17.219053088s
ws1 done making product #62 in 1.484132409s
ws1 done making product #63 in 13.903103865s
ws1 done making product #64 in 22.469937095s
ws1 done making product #65 in 3.226085425s
ws1 done making product #66 in 9.364082519s
ws1 done making product #67 in 2.393084724s
ws1 done making product #68 in 9.904043746s
ws1 done making product #69 in 9.930096313s
ws1 done making product #70 in 15.351105041s
ws1 done making product #71 in 4.599074209s
ws1 done making product #72 in 20.183127532s
ws1 done making product #73 in 636.107641ms
ws1 done making product #74 in 16.031092443s
ws1 done making product #75 in 5.770036799s
ws1 done making product #76 in 9.448966308s
ws1 done making product #77 in 25.16312468s
ws1 done making product #78 in 3.289115868s
ws1 done making product #79 in 23.594079431s
ws1 done making product #80 in 2.557118431s
ws2 done making product #1 in 13m56.403756111s
ws1 done making product #81 in 8.957101944s
ws1 done making product #82 in 9.601066038s
ws1 done making product #83 in 10.456091521s
ws1 done making product #84 in 10.682109145s
ws1 done making product #85 in 6.514056861s
ws1 done making product #86 in 14.520065409s
ws1 done making product #87 in 6.280009332s
ws1 done making product #88 in 10.283035564s
ws1 done making product #89 in 18.914083957s
ws1 done making product #90 in 2.005046652s
ws1 done making product #91 in 16.789014059s
ws1 done making product #92 in 7.201086066s
ws1 done making product #93 in 11.660075031s
ws1 done making product #94 in 3.638056901s
ws1 done making product #95 in 11.850087709s
ws1 done making product #96 in 9.509059784s
ws1 done making product #97 in 11.417036093s
ws1 done making product #98 in 9.652051254s
ws1 done making product #99 in 9.024092182s
ws1 done making product #100 in 16.395034478s
ws1 done making product #101 in 11.585065011s



 map[component1:[94.862µs 34.996µs 73.863µs 14.368µs 20.482µs 51.055µs 10.901µs 23.581µs 33.019µs 42.159µs 57.327µs 796.22376ms 9.983µs 14.821µs 14.929µs 14.589µs 27.9µs 21.02µs 14.016µs 38.171µs 9.523µs 39.685µs 26.327µs 14.17µs 18.006µs 17.667µs 9.527µs 44.297µs 13.964µs 7.796319188s 9.537µs 14.797µs 19.303µs 25.257µs 16.973µs 21.312µs 2.086053172s 36.603µs 34.278µs 14.045µs 35.735µs 48.525µs 11.065µs 54.003µs 12.601µs 6.15106398s 9.81µs 31.827µs 30.801µs 38.734µs 4.419012812s 9.693µs 10.299µs 39.583µs 31.327µs 8.431µs 6.744µs 11.1µs 6.582µs 6.868µs 10.117µs 9.936µs 29.911µs 7.119µs 6.44298087s 40.796µs 38.563µs 6.527µs 6.861µs 7.013µs 10.196µs 34.235µs 113.031668ms 62.67µs 52.637µs 10.26µs 7.253µs 6.362031942s 37.451µs 12.925044646s 69.123µs 6.861µs 7.139µs 8.427µs 38.243µs 55.586µs 9.792µs 7.67µs 55.487µs 61.541µs 10.47µs 42.427µs 8.204µs 32.322µs 38.705µs 46.618µs 31.454µs 7.195µs 10.442µs 40.613µs 7.19µs]] 

ws1 done making product #102 in 6.525087978s
ws1 done making product #103 in 13.128033263s
ws1 done making product #104 in 8.479065758s
ws1 done making product #105 in 16.502991136s
ws1 done making product #106 in 1.222120718s
ws1 done making product #107 in 7.508033205s
ws1 done making product #108 in 11.662113303s
ws1 done making product #109 in 7.647046965s
ws1 done making product #110 in 20.710016374s
ws1 done making product #111 in 2.134071921s
ws1 done making product #112 in 14.008050337s
ws1 done making product #113 in 6.544150998s
ws1 done making product #114 in 7.370990235s
ws1 done making product #115 in 10.984133753s
ws1 done making product #116 in 14.311099511s
ws1 done making product #117 in 22.447044781s
ws1 done making product #118 in 2.84111688s
ws1 done making product #119 in 7.085114997s
